,shopid,userid
188,118949474,0
189,63000976,0
191,113952977,0
192,109828634,0
194,135041606,0
195,130118533,0
196,191963637,0
197,63525628,0
198,23130711,0
199,56049013,0
200,123409055,0
201,24013881,0
202,10127469,0
203,88405238,0
204,156352092,0
205,49174497,0
206,165259123,0
207,45331410,0
208,151349322,0
209,16107,0
210,164202009,0
211,190556177,0
212,38015541,0
213,57885771,0
214,112442162,0
215,170979252,0
216,129017444,0
217,201296269,0
218,131669646,0
219,42181947,0
221,141522953,0
222,64388615,0
223,7985925,0
224,139559921,0
225,81057240,0
226,56664886,0
227,165538692,0
228,127248861,0
229,118975891,0
230,12049143,0
231,187525171,0
232,116673348,0
233,66391451,0
234,79552047,0
235,68943716,0
236,62712397,0
237,83069309,0
238,88486533,0
239,746673,0
240,78508758,0
241,154074176,0
242,87037251,0
243,107234524,0
244,162967591,0
245,75218433,0
246,59888259,0
248,129924096,0
249,19051557,0
251,35583328,0
252,115150728,0
253,161970294,0
254,180626595,0
255,78375612,0
256,76314118,0
257,40263847,0
258,30870545,0
260,22886785,0
261,130920653,0
262,203611690,0
263,159830232,0
264,68618670,0
265,203663118,0
266,158129579,0
268,81234955,0
269,163099812,0
270,133463403,0
271,159371893,0
273,640697,0
274,39401693,0
275,74535895,0
276,203548519,0
277,10214,0
279,160207448,0
280,105096361,0
282,60864760,0
283,64111812,0
284,195851791,0
285,4798788,0
286,17628187,0
287,48685683,0
288,135055241,0
289,169654676,0
290,183509459,0
291,21672386,0
292,15235546,0
293,39934542,0
295,74696826,0
296,127663104,0
297,58670027,0
299,7823037,0
300,48932741,0
301,50969592,0
303,46764603,0
304,153746042,0
305,180939133,0
306,75405973,0
307,91716487,0
308,133942249,0
309,172186839,0
310,77578654,0
311,163356034,0
312,96982835,0
313,133252710,0
314,7595687,0
315,162270097,0
316,5084475,0
317,156316824,0
318,131115608,0
319,187709005,0
320,6072241,0
321,79829779,0
322,134968955,0
323,53906676,0
324,21757274,0
326,24441028,0
327,185015810,0
329,5030008,0
330,97372033,0
331,147627088,0
332,13480088,0
334,168983234,0
335,85948218,0
336,152911194,0
337,91674180,0
338,61361234,0
339,59416510,0
340,24756972,0
341,140392953,0
342,125017117,0
344,16174733,0
345,84204959,0
346,61811194,0
347,51487338,0
348,4156256,0
350,52377417,0
351,86572177,0
352,50986492,0
353,120337397,0
354,15961547,0
355,93949994,0
357,66397495,0
358,134972865,0
359,173821039,0
360,7617096,0
361,38463337,0
362,156315095,0
363,50057651,0
364,163332397,0
365,204458336,0
366,118945661,0
367,10484,0
368,195406956,0
369,26525054,0
370,26633086,0
371,128299162,0
372,89746709,0
373,71787672,0
374,12667503,0
376,22220410,0
377,33222392,0
378,132655953,0
379,64376286,0
380,182865957,0
381,4937640,0
382,112442009,0
383,85459045,0
384,95194143,0
385,105064406,0
386,134972843,0
387,85669731,0
388,142669043,0
389,208222452,0
390,129746590,0
392,134968929,0
393,127192314,0
394,10429,0
395,3736328,0
396,32333759,0
397,193424157,0
398,39539282,0
399,73662716,0
400,31513775,0
401,64111452,0
402,171423487,0
403,132656226,0
404,19779086,0
405,50115403,0
406,139587037,0
407,67729795,0
408,171956372,0
409,195802415,0
410,169854540,0
411,30349256,0
412,203645430,0
413,124271291,0
415,48697397,0
416,21596473,0
417,190400231,0
419,26974701,0
420,40528055,0
422,106390524,0
423,64384696,0
424,75447841,0
426,14146234,0
427,130169187,0
428,21033357,0
429,147906917,0
430,12165742,0
431,40263988,0
432,73215945,0
433,110179054,0
434,132655529,0
435,177607703,0
436,161578076,0
437,129924382,0
438,74263309,0
439,119046960,0
440,169902791,0
442,17922709,0
443,83408462,0
444,80006267,0
445,58669653,0
446,7303570,0
447,62415789,0
448,81107945,0
449,9853874,0
450,153966647,0
451,165001596,0
453,153078038,0
454,34420137,0
455,15049185,0
456,12998987,0
457,87514129,0
458,164125394,0
459,64375101,0
460,17842027,0
461,66796064,0
463,50932,0
464,135026031,0
465,64394406,0
467,98529535,0
468,19051912,0
469,36597337,0
470,102486966,0
471,122144507,0
472,12067888,0
473,76221922,0
474,135041619,0
475,50658851,0
476,10202952,0
477,89911006,0
478,208612806,0
479,65474765,0
480,108072421,0
481,132655835,0
482,195862037,0
483,177841604,0
485,115624494,0
486,17030485,0
487,11211738,0
488,45647685,0
489,50115393,0
490,211245313,0
491,2153811,0
492,141606045,0
493,59460083,0
494,60576405,0
495,28287742,0
496,80720823,0
497,3536814,0
498,165703189,0
499,131856524,0
500,45244639,0
501,150553948,0
502,104804207,0
503,161772670,0
504,67975263,0
505,43523925,0
506,147123354,0
507,16194072,0
508,29391773,0
509,83213597,0
510,75746872,0
511,3902055,0
512,57189823,0
513,199250286,0
514,14390894,0
515,21512331,0
516,127663171,0
517,81502244,0
518,84172679,0
519,13448324,0
520,134100839,0
521,63674264,0
522,162549868,0
523,28179243,0
524,95570154,0
525,24889654,0
526,21245698,0
527,163828968,0
528,40205194,0
529,75777351,0
531,26094023,0
532,98079940,0
533,10084,0
534,41880635,0
535,17824459,0
536,110599242,0
537,135041803,0
538,112426924,0
539,20101539,0
540,18784939,0
541,29973792,0
542,190977056,0
543,153514330,0
544,85965780,0
545,38963929,0
546,22800308,0
547,66385741,0
548,49950548,0
549,40264094,0
551,87005909,0
552,60325104,0
553,100856387,0
554,70506294,0
555,105032290,0
556,11271939,0
557,145818032,0
558,126639670,0
559,50251146,0
560,162523950,0
562,7610832,0
563,29974342,0
564,20466100,0
565,134288755,0
566,60867012,0
567,2530899,0
568,176182794,0
569,131156579,0
570,12164287,0
571,7333722,0
572,130099246,0
573,33219688,0
574,69583373,0
575,111640885,0
576,45870411,0
577,15050500,0
578,34683087,0
580,18784557,0
581,19051639,0
582,44400317,0
583,153849290,0
584,122625627,0
585,49949368,0
586,47908729,0
587,5892167,0
588,9886018,0
589,142401765,0
590,163511422,0
591,191984069,0
592,195868943,0
593,163146624,0
594,9717435,0
595,134972260,0
596,131113017,0
597,140447375,0
598,51910520,0
599,14391714,0
600,170389919,0
601,10884344,0
602,163824012,0
603,135010775,0
604,86997551,0
605,93684185,0
606,201421408,0
607,69032260,0
609,203745928,0
610,31504973,0
611,53427888,0
612,135028831,0
613,116348370,0
614,141510839,0
615,145864357,0
616,75777312,0
617,45348627,0
618,101573592,0
619,10621150,0
620,199375813,0
621,127922691,0
622,177213675,0
623,195870717,0
624,9641401,0
625,139192692,0
626,170474682,0
627,64394500,0
628,171810137,0
629,20545947,0
630,54621801,0
631,106770372,0
632,104589926,0
634,64917141,0
635,130101638,0
637,196675523,0
638,119311228,0
639,112441912,0
640,90555315,0
641,177715403,0
642,163521378,0
643,115725416,0
644,9176579,0
645,201559598,0
646,2951855,0
647,176103073,0
648,121804024,0
649,199956195,0
650,107474589,0
651,10563,0
652,162846722,0
653,203588831,0
654,97950862,0
656,119786614,0
657,25346375,0
658,2626302,0
659,40263913,0
660,111184668,0
661,134972725,0
662,133138144,0
663,163532320,0
664,131519911,0
665,28808878,0
666,31976883,0
667,127663268,0
668,164205664,0
669,14665818,0
670,156058101,0
671,191712246,0
672,56418,0
674,84711793,0
675,166488971,0
676,155121171,0
677,187419135,0
678,111011066,0
679,208793694,0
680,61758240,0
681,195859018,0
682,133316305,0
683,96561202,0
684,79070417,0
685,11425471,0
686,202888288,0
687,83102630,0
688,187548619,0
689,81238369,0
690,173700387,0
691,105100687,0
692,5859784,0
693,173315419,0
694,46625431,0
695,133519118,0
696,161964121,0
698,166360069,0
699,87828817,0
700,144996818,0
701,75985602,0
703,116658682,0
704,107154370,0
705,189308408,0
706,15402452,0
707,84172628,0
708,112547542,0
709,161541082,0
710,17443033,0
711,96555506,0
712,192710510,0
713,2730790,0
714,101832043,0
715,64112948,0
717,129916422,0
718,98758834,0
719,52934282,0
720,50090018,0
721,130169227,0
722,141601963,0
723,97323655,0
724,96555187,0
725,183462393,0
726,155382233,0
727,51831798,0
728,97168062,0
729,135634538,0
730,74752093,0
731,71162995,0
732,48834674,0
733,23811567,0
734,94552612,0
735,34275528,0
736,99510463,0
737,133589870,0
738,167354126,0
739,203604730,0
740,191835040,0
741,173326062,0
742,141602225,0
743,145277982,0
744,190793125,0
745,45084576,0
746,140201236,0
747,100694836,0
748,43271239,0
749,30101879,0
750,138757015,0
751,135041701,0
752,41107602,0
753,161280411,0
754,199320549,0
755,153294173,0
757,9420081,0
758,159849735,0
759,96680288,0
760,34415688,0
761,164032110,0
762,205037235,0
763,162014252,0
764,1011192,0
765,171745446,0
766,58530722,0
767,183394174,0
768,89115002,0
769,121733761,0
770,208265257,0
771,112462685,0
772,68855171,0
773,59846544,0
774,81246872,0
775,13830581,0
776,60785640,0
777,19058795,0
779,93750632,0
780,118949192,0
781,10915894,0
782,149727025,0
783,41970151,0
784,10151,0
785,45828982,0
786,9689507,0
787,125915778,0
788,8528033,0
789,108071059,0
792,6123613,0
793,160385653,0
794,82738335,0
795,182852081,0
796,58541919,0
797,180676972,0
798,14924365,0
799,80201181,0
800,144294380,0
801,182891194,0
802,154885383,0
803,175357803,0
804,60863495,0
805,85458955,0
806,62395537,0
807,98473827,0
808,60863287,0
809,165031280,0
810,19001607,0
811,160188664,0
812,191702307,0
814,79001263,0
815,63329855,0
816,116525677,0
817,160356872,0
818,64111976,0
820,9211634,0
821,70050159,0
822,173225496,0
824,77529810,0
825,129746727,0
826,143801173,0
827,84711731,0
828,171407673,0
829,174351740,0
830,35583249,0
831,97179467,0
832,26598379,0
833,74385630,0
834,88487045,0
835,209046495,0
836,97084589,0
837,208624214,0
838,86826200,0
839,130920806,0
840,197022805,0
841,134391333,0
842,110868696,0
843,80006336,0
844,130118362,0
845,84599953,0
846,88484634,0
847,950097,0
849,74542442,0
850,161670455,0
851,135041771,0
852,180706939,0
854,58853230,0
855,27200317,0
856,208697502,0
857,135041624,0
858,150722,0
860,70684265,0
861,7388858,0
862,87219179,0
863,75476175,0
864,121725825,0
865,65920681,0
866,153460136,0
867,182262265,0
868,126422333,0
869,39280688,0
870,44840203,0
871,109789910,0
872,739014,0
873,64909692,0
874,183460926,0
875,135619752,0
876,81106830,0
878,84598832,0
879,32228742,0
880,111339051,0
881,64111837,0
882,58241242,0
883,49674942,0
885,10353,0
886,31733346,0
887,190975406,0
888,100490403,0
889,28090800,0
890,121804260,0
891,201322792,0
892,138904146,0
893,162303328,0
894,132656476,0
895,77581273,0
896,81107063,0
897,117079252,0
898,182856339,0
899,50205520,0
901,43271018,0
902,18174855,0
903,109869080,0
904,83767579,0
905,203605237,0
906,56049882,0
907,143596644,0
908,7924399,0
909,76668593,0
910,72569544,0
911,78732754,0
912,95193063,0
913,84723682,0
914,80914308,0
915,149465143,0
916,10923507,0
917,60864387,0
918,55942169,0
919,162568559,0
920,191429248,0
921,45836171,0
922,190956660,0
923,25614013,0
924,124120055,0
925,116343391,0
927,67846887,0
928,135041908,0
929,129747242,0
930,7524004,0
931,35925244,0
932,163492679,0
933,14979278,0
934,17025264,0
935,105084496,0
936,31500153,0
937,115712290,0
938,79835216,0
939,17020208,0
940,26432438,0
941,67146689,0
942,114231379,0
943,92520461,0
944,203598178,0
945,13842071,0
946,60481448,0
947,182864186,0
948,91087778,0
949,27855933,0
950,26519437,0
951,104801795,0
952,60725573,0
953,9684704,0
954,129267645,0
955,81107987,0
956,169215847,0
958,158650368,0
960,94886638,0
961,10802845,0
962,138785676,0
963,203843744,0
964,136491176,0
965,129017579,0
967,88030773,0
968,102733707,0
969,39146716,0
970,76790130,0
971,5255815,0
972,154408501,0
973,66342952,0
974,134508998,0
975,195860232,0
976,93381802,0
977,64112798,0
978,49819997,0
979,211077275,0
980,77514500,0
981,63381431,0
982,167068287,0
983,187538582,0
984,60312565,0
985,66407845,0
986,135005836,0
987,77421422,0
988,126241698,0
989,18254273,0
990,95230207,0
991,100682318,0
992,96573613,0
993,37983742,0
994,203725545,0
995,183477680,0
996,158638942,0
997,90340597,0
998,139614194,0
999,205121226,0
1000,129460270,0
1001,96674652,0
1002,153410043,0
1003,104457794,0
1004,161840722,0
1005,2561928,0
1006,28051518,0
1007,6831578,0
1008,68604877,0
1009,82369462,0
1010,20469877,0
1011,49674796,0
1012,10100,0
1013,179920846,0
1014,162582287,0
1015,64112888,0
1016,105082099,0
1017,163839474,0
1018,148045360,0
1019,203128466,0
1020,189741339,0
1021,193456762,0
1022,33380999,0
1023,145254211,0
1024,82028494,0
1025,10358,0
1026,12351796,0
1027,48824979,0
1028,169216836,0
1029,151550724,0
1030,84559659,0
1032,170555,0
1033,48685076,0
1034,44554498,0
1035,34910509,0
1036,66526405,0
1037,65362355,0
1038,135055029,0
1039,28090664,0
1040,147119170,0
1041,93684245,0
1042,80102990,0
1043,108157503,0
1044,13347981,0
1045,30407397,0
1046,191295119,0
1047,180950375,0
1048,29302231,0
1049,81107657,0
1051,55916103,0
1052,82601489,0
1054,156058665,0
1055,112251622,0
1057,162192263,0
1058,68986711,0
1059,72191878,0
1060,146493368,0
1062,71756544,0
1064,116843700,0
1065,129968821,0
1066,170378153,0
1067,182890618,0
1068,128198272,0
1069,74294441,0
1070,50970150,0
1071,80066557,0
1072,162272095,0
1073,16613456,0
1074,115794214,0
1075,13779275,0
1076,9372692,0
1077,65551316,0
1078,195839211,0
1079,161175317,0
1080,39262021,0
1081,10918500,0
1082,158549787,0
1083,171967330,0
1084,156246169,0
1085,163524336,0
1086,118080540,0
1087,31102571,0
1088,106050474,0
1089,189560423,0
1090,129916270,0
1091,7190564,0
1092,104457944,0
1093,199312550,0
1094,50212965,0
1095,110880222,0
1096,30101748,0
1097,11735390,0
1098,112442101,0
1100,182867561,0
1101,28225599,0
1102,196664960,0
1103,199248625,0
1104,134972697,0
1105,12692969,0
1106,193420600,0
1107,203243525,0
1108,163281940,0
1109,195868680,0
1111,140625236,0
1112,78732711,0
1113,49092904,0
1114,118138969,0
1115,81358578,0
1116,19678369,0
1118,173819827,0
1119,121022843,0
1120,131670660,0
1121,211534559,0
1122,28102092,0
1123,143897842,0
1124,9698290,0
1125,3616492,0
1127,13056041,0
1130,130919756,0
1131,58721419,0
1132,116623733,0
1133,77744614,0
1134,133025743,0
1135,205508993,0
1136,199007230,0
1137,12666270,0
1138,134972125,0
1139,23077028,0
1140,2581950,0
1141,130117958,0
1142,26633463,0
1143,4303950,0
1144,181043636,0
1145,130115323,0
1146,12536959,0
1147,155299637,0
1148,16864285,0
1149,8573568,0
1150,60491277,0
1151,89127999,0
1152,74652244,0
1153,27971736,0
1154,160319797,0
1155,56017296,0
1156,137774448,0
1157,110602616,0
1159,26030484,0
1160,29975426,0
1161,160169814,0
1162,180518077,0
1163,192921533,0
1164,226382,0
1165,135041631,0
1166,61510385,0
1167,174013243,0
1168,209278850,0
1169,152973898,0
1170,184181878,0
1171,36641013,0
1172,110773498,0
1173,202927928,0
1174,151578689,0
1175,140626453,0
1176,135032932,0
1177,110868129,0
1178,66788521,0
1179,180390569,0
1180,146141301,0
1181,130920107,0
1183,133340884,0
1184,76645269,0
1185,82060005,0
1186,143899576,0
1187,91223175,0
1188,12454721,0
1189,121597316,0
1190,147906073,0
1192,16175315,0
1193,17145,0
1194,8834405,0
1195,92003735,0
1196,165307278,0
1197,9782095,0
1198,28055313,0
1199,84713261,0
1200,126241654,0
1201,27996819,0
1202,28378486,0
1204,15933442,0
1205,186984275,0
1206,115725565,0
1207,70048558,0
1208,110641183,0
1209,194330690,0
1210,191737087,0
1211,178465309,0
1212,58543215,0
1213,4946827,0
1214,105094687,0
1215,153311525,0
1216,12112156,0
1217,129725689,0
1218,640689,0
1219,10075073,0
1220,64191620,0
1221,173493484,0
1222,1079456,0
1223,161277691,0
1224,182012785,0
1225,58382447,0
1227,209441445,0
1228,109836309,0
1229,107148254,0
1230,139260592,0
1231,83089311,0
1232,100519870,0
1233,36641250,0
1234,135054553,0
1235,130118253,0
1237,16174997,0
1238,182470492,0
1239,121003313,0
1240,98479135,0
1241,156480336,0
1242,163108823,0
1243,171640191,0
1244,98793115,0
1245,140249921,0
1246,166339647,0
1247,165218014,0
1248,149828485,0
1249,60863456,0
1250,150209213,0
1251,135054775,0
1252,95134473,0
1253,190714883,0
1254,149773537,0
1255,188261636,0
1256,68753518,0
1257,20046450,0
1258,53261447,0
1259,173728060,0
1260,35202282,0
1261,115763717,0
1263,135054284,0
1264,106703490,0
1265,3602410,0
1266,73654185,0
1267,76501592,0
1268,73302121,0
1269,18796328,0
1270,122353670,0
1271,199380897,0
1272,182863457,0
1273,116615581,0
1274,87246161,0
1275,130789581,0
1276,68019980,0
1277,72315293,0
1278,112546691,0
1279,208750712,0
1280,135054372,0
1281,133117601,0
1282,210106431,0
1283,190714822,0
1284,133312433,0
1285,104804527,0
1286,75214608,0
1287,117064993,0
1288,93952110,0
1289,180350666,0
1290,167379973,0
1291,180654396,0
1292,83699001,0
1293,10967887,0
1294,178734961,0
1296,195853899,0
1297,203660077,0
1298,43726621,0
1299,111674507,0
1300,135041810,0
1301,97167909,0
1302,165028914,0
1303,17690724,0
1304,99831506,0
1305,76621355,0
1306,134968588,0
1307,168917434,0
1308,50968349,0
1309,83669215,0
1310,60317321,0
1311,23076960,0
1312,166676440,0
1313,156292400,0
1314,202407295,0
1316,45329853,0
1318,164031738,0
1319,141603619,0
1320,183462157,0
1321,10380,0
1322,66375973,0
1323,1808698,0
1324,89122449,0
1325,193459562,0
1326,197191551,0
1327,83764530,0
1328,95137178,0
1329,115725491,0
1330,163743165,0
1331,84172725,0
1332,143899629,0
1333,114932479,0
1334,186729040,0
1336,64112995,0
1337,190557713,0
1338,190512141,0
1339,165045834,0
1340,73834330,0
1341,15336163,0
1342,119337470,0
1343,28619747,0
1344,16629965,0
1345,75715238,0
1346,130117591,0
1347,164768716,0
1348,76357257,0
1349,3711886,0
1350,163102991,0
1351,178104812,0
1352,90904399,0
1353,54566649,0
1354,798888,0
1355,69034419,0
1356,130787776,0
1357,126264419,0
1358,195280699,0
1359,19811463,0
1360,121804353,0
1361,168577334,0
1362,85459183,0
1363,74652209,0
1364,168652240,0
1365,76473021,0
1366,12530609,0
1367,134946458,0
1368,44673604,0
1369,171916911,0
1370,40263807,0
1371,19052512,0
1372,193422616,0
1373,1335777,0
1374,130119029,0
1375,13511,0
1376,170480649,0
1377,97004319,0
1378,178496438,0
1379,145824102,0
1380,89116953,0
1381,137251611,0
1382,131669808,0
1383,15618985,0
1384,97083776,0
1385,54619920,0
1386,129926387,0
1387,111164466,0
1388,201118334,0
1389,83440644,0
1390,26167337,0
1391,167134527,0
1393,71018711,0
1394,173468452,0
1395,182846820,0
1396,82589739,0
1397,145711550,0
1398,40959403,0
1399,129916484,0
1400,179870995,0
1401,65885518,0
1402,100506525,0
1403,128300567,0
1404,91639906,0
1406,135662582,0
1407,63841300,0
1408,62795575,0
1409,67099682,0
1410,131156634,0
1411,28949908,0
1412,166355817,0
1413,189162617,0
1414,105221414,0
1415,203312755,0
1416,85568862,0
1418,45439982,0
1420,74910037,0
1421,102870617,0
1422,44824309,0
1423,143027020,0
1424,11660410,0
1425,45870095,0
1428,28812758,0
1429,131670102,0
1431,180869962,0
1432,75603759,0
1433,193497286,0
1434,16727847,0
1435,183758134,0
1437,59601323,0
1438,48125273,0
1439,76226656,0
1440,165703243,0
1442,153152129,0
1443,95763943,0
1444,64113118,0
1445,187350317,0
1446,100251293,0
1447,1898080,0
1448,56089815,0
1449,44606956,0
1450,117069243,0
1451,163279095,0
1452,59255767,0
1453,182859813,0
1454,3678201,0
1455,122819012,0
1456,130099825,0
1457,143259279,0
1459,80007090,0
1460,124575068,0
1461,149779841,0
1462,12694316,0
1463,153745158,0
1464,79495367,0
1465,109789989,0
1466,38569471,0
1467,50116010,0
1468,160419520,0
1469,31989591,0
1470,6890811,0
1472,161763832,0
1473,132655704,0
1474,27121294,0
1475,29630037,0
1477,89889493,0
1478,95581106,0
1479,143899568,0
1480,939904,0
1481,82574329,0
1482,10195,0
1483,9944513,0
1484,96675020,0
1485,136135817,0
1486,114079188,0
1487,110379092,0
1488,69889747,0
1489,159794198,0
1490,51646546,0
1491,951842,0
1492,10407,0
1493,179883944,0
1494,140625816,0
1495,191060361,0
1496,117918452,0
1497,156045699,0
1498,42588802,0
1499,19754095,0
1500,173710870,0
1501,140626153,0
1502,61745753,0
1503,112844132,0
1504,92775746,0
1505,105095759,0
1506,148917764,0
1507,195655303,0
1508,180410142,0
1509,165498911,0
1510,76465962,0
1511,21768773,0
1512,209044844,0
1513,135055174,0
1514,140392688,0
1515,153335722,0
1516,14297919,0
1517,19056260,0
1518,60864487,0
1519,175697852,0
1520,70790444,0
1521,155107725,0
1522,29300810,0
1524,35582959,0
1525,186234213,0
1526,76372898,0
1527,1012462,0
1528,48702598,0
1529,107154682,0
1530,173324412,0
1531,36596985,0
1532,195858914,0
1533,19123899,0
1534,40510269,0
1535,135053962,0
1536,26637639,0
1537,176460316,0
1538,54766203,0
1539,9885796,0
1540,129213870,0
1541,162300682,0
1542,66408501,0
1543,34683172,0
1544,9937200,0
1545,92727505,0
1546,2228395,0
1547,155145623,0
1548,160369133,0
1550,121727014,0
1551,43230649,0
1552,26224654,0
1553,18584284,0
1555,64113468,0
1556,135041835,0
1557,73520061,0
1558,203661273,0
1559,77597123,0
1560,174494821,0
1561,131669374,0
1562,3740215,0
1563,97323717,0
1564,116498416,0
1565,140626592,0
1566,64375476,0
1567,1143708,0
1568,141003017,0
1569,155276248,0
1571,203593666,0
1572,50970203,0
1573,108121146,0
1574,175541026,0
1575,87203163,0
1577,70509589,0
1578,132102434,0
1579,141604296,0
1580,104291811,0
1581,134406310,0
1582,158414055,0
1583,203547290,0
1584,142718055,0
1585,169860390,0
1586,14097889,0
1588,41816358,0
1589,57934775,0
1590,33378925,0
1591,6045602,0
1592,173824647,0
1593,164755517,0
1594,129916416,0
1595,39003342,0
1596,135041868,0
1597,118949224,0
1598,151146251,0
1600,27842629,0
1601,168334632,0
1602,155382408,0
1603,79735628,0
1604,11051083,0
1605,64917281,0
1606,154364598,0
1607,43230896,0
1609,60861784,0
1610,75318673,0
1612,73268026,0
1613,60864657,0
1614,34229630,0
1615,5283695,0
1616,18173522,0
1617,116500986,0
1618,44796915,0
1619,61808548,0
1620,129916592,0
1621,19068115,0
1622,90336365,0
1623,64186273,0
1624,128282704,0
1625,101667372,0
1626,203579599,0
1627,173794766,0
1628,140206880,0
1629,86822226,0
1630,86416733,0
1631,203092909,0
1632,170576897,0
1633,140613509,0
1634,62353606,0
1635,126195141,0
1636,111572991,0
1637,46313738,0
1638,45084125,0
1639,48279187,0
1640,182869767,0
1641,54594036,0
1642,154692282,0
1643,192666230,0
1644,15290046,0
1646,143585502,0
1647,10349073,0
1648,6078026,0
1649,80186194,0
1650,15935038,0
1651,83408312,0
1652,62947690,0
1653,150634541,0
1654,142201790,0
1655,18784747,0
1656,9885980,0
1657,91088177,0
1658,129924041,0
1659,140736273,0
1660,141602074,0
1661,162180856,0
1662,92520648,0
1663,129968677,0
1664,196561704,0
1665,208702064,0
1666,11238223,0
1667,168388412,0
1668,179223034,0
1669,155287761,0
1670,132868349,0
1671,28812867,0
1672,164141269,0
1673,41293031,0
1674,164763842,0
1675,76210086,0
1676,178578477,0
1677,127662988,0
1678,1134916,0
1679,193201328,0
1680,21252442,0
1681,116348300,0
1682,209206236,0
1683,93952151,0
1684,195173535,0
1685,173155851,0
1686,85459077,0
1687,127826263,0
1688,90337968,0
1689,91462182,0
1690,33218044,0
1691,132962233,0
1692,171549702,0
1693,128441278,0
1694,173820736,0
1695,92991064,0
1696,28275409,0
1697,52512169,0
1698,12249378,0
1699,8930674,0
1700,41107394,0
1701,28983203,0
1702,89251719,0
1703,73519985,0
1704,58446009,0
1705,163350900,0
1706,83213498,0
1707,173493103,0
1708,140625609,0
1709,97909968,0
1710,158329563,0
1711,129878137,0
1712,76903313,0
1713,89889551,0
1714,77581539,0
1715,75632239,0
1716,195866447,0
1717,45512569,0
1718,186706336,0
1719,65806748,0
1720,38161315,0
1721,140778045,0
1722,15289750,0
1723,173330006,0
1724,8362239,0
1725,51686788,0
1726,115540089,0
1727,34682272,0
1728,173872921,0
1729,169201637,0
1730,131431876,0
1731,2445250,0
1732,203599679,0
1733,10003504,0
1734,41398011,0
1736,104245690,0
1737,29934289,0
1738,178158839,0
1739,19041109,0
1740,130098983,0
1741,198413743,0
1742,9690513,0
1743,20748531,0
1744,150133749,0
1745,73653764,0
1746,87163250,0
1747,111405300,0
1748,147903750,0
1749,59479182,0
1750,8966656,0
1751,151864469,0
1752,30447443,0
1753,79835199,0
1754,173326056,0
1755,89889524,0
1756,173603112,0
1757,91441976,0
1758,53635011,0
1759,202216722,0
1760,164768074,0
1761,2987517,0
1762,129233230,0
1763,184618210,0
1764,129017718,0
1766,64112541,0
1767,58569891,0
1768,31844790,0
1769,172355280,0
1770,178815125,0
1771,75370458,0
1772,152247590,0
1773,24029939,0
1774,160486977,0
1775,75687195,0
1776,104552024,0
1777,77218021,0
1778,8090602,0
1779,10384253,0
1780,95478052,0
1781,76227117,0
1782,36283,0
1783,40263068,0
1784,116342634,0
1785,59899394,0
